All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    pilon_output
# contigs (>= 0 bp)         4           
# contigs (>= 1000 bp)      4           
# contigs (>= 5000 bp)      4           
# contigs (>= 10000 bp)     4           
# contigs (>= 25000 bp)     4           
# contigs (>= 50000 bp)     4           
Total length (>= 0 bp)      8772084     
Total length (>= 1000 bp)   8772084     
Total length (>= 5000 bp)   8772084     
Total length (>= 10000 bp)  8772084     
Total length (>= 25000 bp)  8772084     
Total length (>= 50000 bp)  8772084     
# contigs                   4           
Largest contig              6996056     
Total length                8772084     
GC (%)                      72.00       
N50                         6996056     
N75                         6996056     
L50                         1           
L75                         1           
# N's per 100 kbp           0.00        
